target,bert_depth,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,2,50,10,0.9829439678827637,0.027068650712103834,0.016777323529806223,0.7597513981519626,0.018599308663308632,0.011527970942989189,0.636139303445816,0.021129213851836377,0.01309602242435416,0.3828763723373413,0.03411047155802205,0.021141889308405434
gap,2,75,10,0.973015126071688,0.028636766311062364,0.01774925164752725,0.7546042212376898,0.023646402844745697,0.014656192326019142,0.636691689491272,0.0273921548535742,0.016977833474036783,0.39522215723991394,0.035616279472755204,0.02207519872334145
gap,2,100,10,0.9945924215253411,0.04432907015657298,0.027475442337424837,0.7633890091918575,0.0351195509585627,0.02176732320055593,0.6275200784206391,0.03277902448080652,0.020316649860202308,0.3674652874469757,0.05636609891177357,0.03493607005439038
gap,2,125,10,0.9513231362451574,0.02615402891523807,0.016210435066962816,0.7303357414340814,0.01889887801117399,0.011713645948448651,0.6616052031517029,0.01786649087516225,0.011073765772185044,0.42194423675537107,0.03211885493244797,0.019907472534921557
gap,2,150,10,0.9080833128244669,0.013774461972101323,0.008537499981542117,0.7114672014856762,0.010693526798290996,0.006627916576918913,0.7070958316326141,0.017288133378483114,0.010715296081882535,0.47354700565338137,0.015960342824223272,0.009892322970087311
gap,2,175,10,0.8928721007997416,0.023018366743799184,0.01426693151778587,0.6921475332446043,0.023344618752070792,0.014469144607504973,0.7160051882266998,0.018635718062438026,0.011550537722368649,0.4908374071121216,0.0261099883915931,0.01618313846760615
gap,2,200,10,0.8746805776077684,0.03163478433968206,0.01960744247311773,0.6867152480152126,0.028697802275316566,0.01778708213010792,0.731641411781311,0.018888743295181573,0.011707364386397558,0.5110907793045044,0.035013130162522756,0.02170136290780062
gap,2,225,10,0.8756162856113021,0.04257740066503673,0.026389746338412453,0.6869902744472993,0.03726047421033706,0.02309428117971527,0.7358241438865661,0.026656976380341615,0.016522165135457324,0.5095788896083832,0.04796088820998313,0.02972646648825948
gap,2,250,10,0.8783209526515613,0.04052249585821628,0.025116103143793794,0.6908819448779193,0.03451681414335285,0.021393743052078903,0.743516206741333,0.02162970361482657,0.013406229193296945,0.5066490411758423,0.045768540490061224,0.028367635293525578
gap,2,275,10,0.8785922962225733,0.02530346967765871,0.01568325298973599,0.6850292949777308,0.027691658755683222,0.01716346791579622,0.729478508234024,0.02016846368155458,0.012500543299459082,0.5069202184677124,0.028871402049902982,0.01789468038514896
gap,2,300,10,0.8719843677678877,0.04948273139007193,0.030669714663631668,0.677815876311199,0.045741717316660074,0.028351010118409407,0.7295705020427704,0.028054021043474417,0.01738806238863986,0.5132649719715119,0.056720591928498494,0.035155787102495464
gap,2,325,10,0.8242573358754097,0.02304072979887902,0.014280792282926317,0.6403125834008235,0.0241809552354175,0.014987511330328503,0.7661387979984283,0.011035103256131946,0.00683962785888541,0.5660404443740845,0.024304587213301664,0.015064139224110628
