train_size,model_a,model_b,metric,t_stat,p_value,significant_005,target
200,gtca_cat,gtca_ca,RMSE,-0.012319384804293716,0.9903071792733555,False,lumo
225,gtca_cat,gtca_ca,RMSE,0.4734061559234916,0.6416535351905116,False,lumo
250,gtca_cat,gtca_ca,RMSE,0.2763924800847844,0.7864380450140522,False,lumo
275,gtca_cat,gtca_ca,RMSE,1.1663632844654659,0.26071978617793445,False,lumo
300,gtca_cat,gtca_ca,RMSE,-0.597008757323051,0.5582447160851091,False,lumo
325,gtca_cat,gtca_ca,RMSE,-1.8156273601237407,0.08929605874949541,False,lumo
350,gtca_cat,gtca_ca,RMSE,-2.3267408040336637,0.0373511325419179,True,lumo
375,gtca_cat,gtca_ca,RMSE,0.2073533613310652,0.8380925456863318,False,lumo
400,gtca_cat,gtca_ca,RMSE,-2.2375585270871508,0.041872253512656624,True,lumo
425,gtca_cat,gtca_ca,RMSE,-2.059779860789464,0.06380443130850247,False,lumo
450,gtca_cat,gtca_ca,RMSE,-1.9724526161006577,0.0707615954416789,False,lumo
475,gtca_cat,gtca_ca,RMSE,-1.3931369540619514,0.1807218232129449,False,lumo
500,gtca_cat,gtca_ca,RMSE,-0.08148350161287289,0.9359660253913686,False,lumo
600,gtca_cat,gtca_ca,RMSE,-1.4043649887959595,0.2943121926983853,False,lumo
700,gtca_cat,gtca_ca,RMSE,0.19711666491990004,0.8539892528956051,False,lumo
800,gtca_cat,gtca_ca,RMSE,-1.3582166574313632,0.28738673795325725,False,lumo
900,gtca_cat,gtca_ca,RMSE,-1.6618495055081899,0.23386802478428406,False,lumo
1000,gtca_cat,gtca_ca,RMSE,-0.8148176249926007,0.4867235813497623,False,lumo
1500,gtca_cat,gtca_ca,RMSE,-0.005646972170857092,0.9957648339393745,False,lumo
2000,gtca_cat,gtca_ca,RMSE,-2.21005172408756,0.09409110224001785,False,lumo
2500,gtca_cat,gtca_ca,RMSE,0.4349526940684137,0.6867623777872475,False,lumo
3000,gtca_cat,gtca_ca,RMSE,-0.46287119400020954,0.6787267759751962,False,lumo
50,gtca_cat,gtca_ca,MAE,4.574009275852516,0.0002868219170947214,True,lumo
75,gtca_cat,gtca_ca,MAE,5.098832547701928,9.569917345661847e-05,True,lumo
100,gtca_cat,gtca_ca,MAE,6.816593537826374,9.523308288308395e-06,True,lumo
125,gtca_cat,gtca_ca,MAE,2.7955903937353335,0.011949613179026979,True,lumo
150,gtca_cat,gtca_ca,MAE,0.6828118861624293,0.5055772922790643,False,lumo
175,gtca_cat,gtca_ca,MAE,-0.5180773837601839,0.6108471850921532,False,lumo
200,gtca_cat,gtca_ca,MAE,-0.6637698952413388,0.5153078431204808,False,lumo
225,gtca_cat,gtca_ca,MAE,-0.599058258207499,0.5566786740048815,False,lumo
250,gtca_cat,gtca_ca,MAE,-0.2331744744569432,0.818992310209298,False,lumo
275,gtca_cat,gtca_ca,MAE,0.1635195102982577,0.8723517862789351,False,lumo
300,gtca_cat,gtca_ca,MAE,-1.5209720544054932,0.14806099195129238,False,lumo
325,gtca_cat,gtca_ca,MAE,-2.6297585251561553,0.019474685011897298,True,lumo
350,gtca_cat,gtca_ca,MAE,-2.958964535485518,0.010228514503643312,True,lumo
375,gtca_cat,gtca_ca,MAE,-0.055788356325371484,0.9561254252670931,False,lumo
400,gtca_cat,gtca_ca,MAE,-3.0174902898654934,0.009676471086564636,True,lumo
425,gtca_cat,gtca_ca,MAE,-2.066056857368624,0.06371214895875166,False,lumo
450,gtca_cat,gtca_ca,MAE,-2.1279750759839655,0.05544571305229518,False,lumo
475,gtca_cat,gtca_ca,MAE,-1.5174506348796954,0.1469851356286972,False,lumo
500,gtca_cat,gtca_ca,MAE,-0.7729037978891912,0.4500498440327309,False,lumo
600,gtca_cat,gtca_ca,MAE,-1.246112693673468,0.3349677261474645,False,lumo
700,gtca_cat,gtca_ca,MAE,0.28720855731863193,0.7883435010528721,False,lumo
800,gtca_cat,gtca_ca,MAE,-0.9654878134915298,0.409473560746826,False,lumo
