model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
chemberta2,measured log solubility in mols per litre,100,10,1.1658949151219846,0.1173851606786932,0.0727560763649034,0.87779944436849,0.0897835561576124,0.0556484246419874,0.834700648407613,0.0366026647395816,0.0226865666456879,0.6774557446215038,0.0656455170731998,0.0406875130176332,927.0
chemberta2,measured log solubility in mols per litre,125,10,1.1028704136058498,0.087377823246712,0.0541573359356548,0.8315115534203743,0.0686801090507207,0.0425683726116083,0.853195038043895,0.0260627458414756,0.0161538572316803,0.713423819217002,0.0448747281317897,0.0278136446543485,902.0
chemberta2,measured log solubility in mols per litre,150,10,1.082014841082303,0.075592674492145,0.0468528250605024,0.8177418855801111,0.0632944147824363,0.0392302847204662,0.8621132931153236,0.0191191090126699,0.0118501465373656,0.7256887130994474,0.0378390576654173,0.0234528909204858,877.0
chemberta2,measured log solubility in mols per litre,175,10,1.0094680441154924,0.0669384544635388,0.0414888839146244,0.7521044630145605,0.0569253732544169,0.0352827118832811,0.8781252173511624,0.0156811228530783,0.0097192606389904,0.761831967652555,0.0319900646283355,0.0198276474774194,852.0
chemberta2,measured log solubility in mols per litre,200,10,0.989436352753215,0.0360359512836401,0.0223353140066055,0.7390520899119333,0.032553208158075,0.020176687453318,0.884419723397562,0.0076294930949716,0.0047288088122369,0.772290179815174,0.0161657832413583,0.0100196562598413,827.0
chemberta2,measured log solubility in mols per litre,225,10,0.986859738688848,0.0540383520220723,0.0334933175847759,0.7398252767660869,0.0526209499220158,0.032614802661465,0.8915136641971484,0.0070272520805035,0.0043555359642434,0.7741282937059945,0.0254337265228625,0.0157639870188237,802.0
chemberta2,measured log solubility in mols per litre,250,10,0.9878870795417052,0.0920131948947052,0.0570303690486241,0.7391492054952449,0.0861371091037518,0.053388333342735,0.8929450694987195,0.0116680509742745,0.0072319329189962,0.7687806114533098,0.044451336637334,0.0275512238873216,777.0
chemberta2,measured log solubility in mols per litre,275,10,0.9846911422621036,0.0492285094465548,0.0305121462705807,0.739915521751157,0.0492896505400569,0.0305500419129443,0.8940145267426075,0.0063248779681177,0.0039201999791665,0.7686596810429147,0.022516655692246,0.0139559677863493,752.0
chemberta2,measured log solubility in mols per litre,300,10,0.9984809139695732,0.0413134738169623,0.0256063563618049,0.7448913314513488,0.0378847575632466,0.0234812160106173,0.8910892591287176,0.0066126728961537,0.0040985771236075,0.7584265743575173,0.019889114217831,0.0123274007080305,727.0
chemberta2,measured log solubility in mols per litre,325,10,0.9850100874138756,0.0413009420138562,0.0255985890697681,0.7419316205467179,0.0397964604834669,0.0246661017563656,0.8931397667334722,0.0046793863285029,0.0029003136945847,0.7636217879889804,0.0201055827879471,0.0124615693178182,702.0
chemberta2,measured log solubility in mols per litre,350,10,0.9414692713111192,0.0404900628046774,0.025096000928945,0.7065035726409159,0.0339156329900739,0.0210211271128561,0.895659590361056,0.0063370612650383,0.0039277512648316,0.7780575575107561,0.0192449699720981,0.0119281559682219,677.0
chemberta2,measured log solubility in mols per litre,375,10,0.9556924030521576,0.0798142900828084,0.0494694095122485,0.7175571754271846,0.0712059688364298,0.0441339167263292,0.8934710732527626,0.0092162423552293,0.0057122861928853,0.7731507536812211,0.0396108988770123,0.0245510894811211,652.0
chemprop,measured log solubility in mols per litre,50,10,2.1394675378275325,0.3091829837462386,0.1916335987113669,1.7198285419860373,0.2854444717924884,0.176920316568118,0.5744544541093113,0.0576348727434495,0.0357224642225585,-0.0842266623898219,0.3260053867021847,0.2020602320867229,977.0
chemprop,measured log solubility in mols per litre,75,10,2.2062551826620456,0.3092178433619608,0.1916552049250389,1.7132172097941016,0.269452183804038,0.1670081937801103,0.5991863858680286,0.0680860955124682,0.0422001992062051,-0.1571101325349685,0.3272443534641948,0.2028281516417093,952.0
chemprop,measured log solubility in mols per litre,100,10,2.1883255874052567,0.4211164042317887,0.2610106514967939,1.6668951278322282,0.3696242629008116,0.2290954916485783,0.6311899860675892,0.0558322513082042,0.0346051878816528,-0.1636866569637357,0.4487127081584757,0.2781150178772675,927.0
chemprop,measured log solubility in mols per litre,125,10,2.426299197838788,0.4131284622634342,0.2560596737710932,1.8766633614314707,0.3892536149660995,0.2412618901064277,0.6181016034845835,0.0532008904452411,0.0329742535217861,-0.4144549832097643,0.4613218928216629,0.2859302715000411,902.0
chemprop,measured log solubility in mols per litre,150,10,2.303245430142122,0.2504453596013149,0.1552276420889746,1.7789330627961604,0.2413098161291096,0.1495653735819868,0.6611032134565961,0.0304764675079286,0.0188895102627893,-0.2511655554861501,0.2611049975037288,0.1618345541106149,877.0
chemprop,measured log solubility in mols per litre,175,10,2.496730337844616,0.2653588452872862,0.1644711162824922,1.9153427274684995,0.2269161509284044,0.1406440874632087,0.6350337114569782,0.0485392941024606,0.0300849661745885,-0.465767810569835,0.3003010752589981,0.1861285347967503,852.0
chemprop,measured log solubility in mols per litre,200,10,2.493611156903158,0.2294882353208653,0.1422382818860207,1.9198434604842511,0.1726326071921535,0.1069987984795125,0.657856299156689,0.0367856821603928,0.0228000020183334,-0.455731377679791,0.2795078263421424,0.17324074559646,827.0
chemprop,measured log solubility in mols per litre,225,10,2.17869531626937,0.3213122237875023,0.1991513795755593,1.6577256963318778,0.2861374624665898,0.1773498366378915,0.6955374127224221,0.0411824746429153,0.0255251622325334,-0.1194944969776613,0.3258886070420715,0.2019878513034967,802.0
chemprop,measured log solubility in mols per litre,250,10,2.065146600888577,0.2660712766501289,0.1649126858159839,1.5726418555380453,0.2354322972081503,0.1459224496129174,0.7039045572006397,0.0340936302356702,0.021131450948667,-0.0186842444032513,0.2685433935872227,0.166444919768029,777.0
chemprop,measured log solubility in mols per litre,275,10,1.8772248868247057,0.141298262952071,0.0875775707093705,1.4423225396144503,0.1342617896370548,0.083216319364763,0.7440081639231375,0.0294173949948466,0.0182330903184603,0.1556487445397965,0.1347714217150505,0.0835321925992526,752.0
chemprop,measured log solubility in mols per litre,300,10,1.6801501590654262,0.1678468832308079,0.1040325760372562,1.3070219438464117,0.1196803992708902,0.0741786799829761,0.7946361141422555,0.0347997766323871,0.0215691250197957,0.3108943003381598,0.1390440780484096,0.0861804124310741,727.0
chemprop,measured log solubility in mols per litre,325,10,1.8240405658605727,0.1872450637012537,0.1160556928561788,1.45268243570448,0.1783009386885257,0.1105120667395482,0.7987759569153432,0.0227886761497675,0.0141245678126715,0.1830266138885408,0.1700914134798394,0.1054237502986167,702.0
chemprop,measured log solubility in mols per litre,350,10,1.804740995944174,0.1546147268958573,0.0958312005719777,1.4211348955412109,0.153779509867798,0.0953135276947298,0.8009255442820088,0.0144897628616409,0.0089808480661068,0.1804134329477024,0.1395491093088605,0.0864934340493057,677.0
chemprop,measured log solubility in mols per litre,375,10,1.8887637634301384,0.2819474158095961,0.1747528188139506,1.4523453968174365,0.1932153902340657,0.1197561395790287,0.7756816837025035,0.0484904698477499,0.0300547045879991,0.1018221940420602,0.2531983854338878,0.1569339851782641,652.0
gcn,measured log solubility in mols per litre,50,10,2.324320561522234,0.26897185292804,0.1667104816187734,1.8310843635617988,0.1981716959636135,0.1228280896965893,0.477326101064682,0.0758300716906121,0.0469999653685331,-0.270879727602005,0.2843686303683465,0.1762535031450343,977.0
gcn,measured log solubility in mols per litre,75,10,2.306723630604148,0.2452352215375003,0.1519983650606781,1.8135258703739776,0.1848739547485366,0.1145860643014623,0.506074783205986,0.0701128632929244,0.0434564028912042,-0.2563262403011322,0.2758229750562814,0.1709568511076051,952.0
gcn,measured log solubility in mols per litre,100,10,2.213531112159095,0.1246801338859296,0.0772775476026384,1.7596138301380977,0.1058097200372255,0.0655815439248682,0.5409339308738709,0.0381080365386764,0.0236196057533508,-0.1553912460803985,0.1284049398910418,0.0795862062830502,927.0
gcn,measured log solubility in mols per litre,125,10,2.4277881952085094,0.1894112273009097,0.1173982949650334,1.8841312142432036,0.1488868409446535,0.0922810200784148,0.508102759718895,0.0426146663299772,0.02641284383684,-0.3888476014137268,0.2126515931600918,0.1318028229600771,902.0
gcn,measured log solubility in mols per litre,150,10,2.357700427329436,0.1653739263420428,0.1024998214777715,1.8181833137944323,0.0992788660484811,0.0615336786854643,0.527201122045517,0.0656035454748668,0.0406614987514702,-0.3024923920631408,0.1806554923880013,0.1119714342419978,877.0
gcn,measured log solubility in mols per litre,175,10,2.42499493587315,0.2150708869922572,0.1333023168124897,1.8724257475685628,0.1383707150248287,0.08576305770513,0.5266300112009048,0.0610675045814605,0.0378500314780358,-0.3786290049552917,0.2392501639654003,0.1482887879450838,852.0
gcn,measured log solubility in mols per litre,200,10,2.284245152071029,0.1530360883340943,0.0948527502543384,1.756430405439065,0.1222680833926789,0.0757825432181975,0.5390301644802094,0.0235885586300259,0.0146203401102953,-0.2168736219406127,0.1595325152761293,0.0988792773891222,827.0
gcn,measured log solubility in mols per litre,225,10,2.286376607749937,0.1475538331309542,0.091454813275717,1.7137814866058865,0.1125620753170534,0.0697666970868325,0.550538569688797,0.0335546842176939,0.0207974087459411,-0.2135701239109039,0.153072475368681,0.0948753031720306,802.0
