dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
bace,pIC50,50,2,17,1.0698866,molformer,1.2382276,-15.734476,1.153662919998169,1.116404414176941,1.1460049152374268,1.3328125476837158,1.1607475,1.2784444093704224,1.2809243202209473,1.2902721166610718
bace,pIC50,100,5,16,0.97264814,molformer,1.0113567,-3.9797091,0.9730263948440552,0.9394460320472717,0.9454858899116516,1.0403228998184204,0.9779623,1.1248544454574585,1.1179368495941162,1.0448966026306152
bace,pIC50,50,9,17,1.0323111,molformer,1.1398599,-10.418258,1.0947242975234985,1.017083764076233,1.026659369468689,1.2009685039520264,1.0464151,1.18782377243042,1.3439459800720215,1.2597472667694092
bace,pIC50,500,4,17,0.7757059,gpr,0.77820086,-0.32164136,0.7446136474609375,0.7546459436416626,0.7452829480171204,0.8173892498016357,0.8141269,1.0012568235397339,0.7964776158332825,0.7778114080429077
bace,pIC50,100,6,16,0.9478817,chemberta2,0.97368187,-2.7218764,0.9694255590438843,0.9158880114555359,0.9193341135978699,0.980246365070343,0.96113193,1.1645673513412476,1.1190919876098633,0.9926204085350037
bace,pIC50,500,7,17,0.7543756,gpr,0.7743793,-2.6516945,0.7470861673355103,0.7558035254478455,0.7461948990821838,0.82276451587677,0.8387227,0.9806208610534668,0.7684938311576843,0.7784029245376587
bace,pIC50,500,3,17,0.75989807,gpr,0.7657909,-0.7754742,0.7285283803939819,0.7599052786827087,0.7283027172088623,0.7991361021995544,0.7978958,1.0106792449951172,0.779859185218811,0.7672916650772095
bace,pIC50,175,2,4,0.9558777,molformer,0.9525791,0.34509018,,0.939083993434906,,,0.952579,,,
bace,pIC50,500,5,17,0.78292257,gpr,0.7864179,-0.44644716,0.777384340763092,0.7930402755737305,0.7537742853164673,0.8229636549949646,0.87306046,0.9924078583717346,0.8112150430679321,0.7729192972183228
bace,pIC50,200,3,17,0.8882915,gpr,0.88222057,0.68343693,0.8479353189468384,0.834129273891449,0.8460803627967834,0.8838373422622681,0.8758515,1.0731303691864014,0.9490194916725159,0.9152016639709473
bace,pIC50,50,4,17,1.2080531,krovex,1.2128087,-0.39365953,1.1933279037475586,1.1852622032165527,1.1913001537322998,1.185857892036438,1.2424228,1.2529903650283813,1.2332799434661865,1.2688148021697998
bace,pIC50,200,7,17,0.87412727,gpr,0.8505437,2.6979585,0.8356705904006958,0.8260757327079773,0.8159264922142029,0.8614828586578369,0.8819942,1.0970438718795776,0.923671543598175,0.8747970461845398
bace,pIC50,250,4,4,0.8852691,chemberta2,0.8978557,-1.4217817,,0.8788506388664246,,,0.8978557,,,
bace,pIC50,225,0,4,0.98418564,molformer,0.94187486,4.299064,,0.9446630477905273,,,0.94187486,,,
bace,pIC50,100,4,16,1.0777035,molformer,1.1203971,-3.9615364,1.1123008728027344,1.0757473707199097,1.0754170417785645,1.139146327972412,1.095922,1.192724347114563,1.1636289358139038,1.1933069229125977
bace,pIC50,275,7,4,0.8577299,molformer,0.8730906,-1.7908566,,0.858629047870636,,,0.8730906,,,
bace,pIC50,50,5,17,0.99545145,molformer,1.0634503,-6.83096,1.0487631559371948,0.9775838851928711,0.9938016533851624,1.0145612955093384,1.0359185,1.1597870588302612,1.2945351600646973,1.1078118085861206
bace,pIC50,150,7,4,0.9358543,molformer,0.9279216,0.84764504,,0.9327324032783508,,,0.9279216,,,
bace,pIC50,50,3,17,0.9868911,krovex,1.0100116,-2.3427572,0.9860520362854004,0.9434105753898621,0.9418312907218933,1.016241431236267,0.9921138,1.1447633504867554,1.1741594076156616,1.1026432514190674
bace,pIC50,100,0,16,1.044598,gpr,1.0735039,-2.7671764,1.0391113758087158,1.0209546089172363,1.0063250064849854,1.1401875019073486,1.072325,1.1747037172317505,1.1372623443603516,1.1221979856491089
bace,pIC50,175,4,4,0.95959723,chemberta2,0.9494194,1.0606378,,0.9358873963356018,,,0.9494194,,,
bace,pIC50,125,3,4,0.90684307,molformer,0.8743398,3.5842197,,0.8709287643432617,,,0.8743398,,,
bace,pIC50,500,1,17,0.7787132,gpr,0.78206366,-0.43025297,0.737285852432251,0.775342583656311,0.7397888898849487,0.8548629283905029,0.8505939,1.0185140371322632,0.7886573076248169,0.7722494006156921
bace,pIC50,200,1,17,0.8596892,gpr,0.8364485,2.7033823,0.8002955913543701,0.7964125871658325,0.8046475052833557,0.8566698431968689,0.8559417,1.0711318254470825,0.863886296749115,0.8897399306297302
