model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
chemberta2,pIC50,250,10,0.9344463300884628,0.0352153220526378,0.0218266827396475,0.724975617168302,0.0302559407977593,0.0187528263917377,0.720574687536989,0.0270557003973147,0.0167692968415408,0.4991888005280853,0.0347716529511239,0.0215516937815555,1163.0
chemberta2,pIC50,275,10,0.9373166746890672,0.0397226787355797,0.0246203713552435,0.7233866012476182,0.0326015793458117,0.0202066682260875,0.7245929438783226,0.0270300070014313,0.0167533719097849,0.4957469874664467,0.0405051905635686,0.0251053772110471,1138.0
chemberta2,pIC50,300,10,0.9281356993586144,0.0383322366717225,0.0237585664354899,0.7119199792277554,0.029530440367317,0.0183031565662262,0.73113082205054,0.0226009050203741,0.0140081860609212,0.5039251044931717,0.038344866270435,0.0237663943418715,1113.0
chemberta2,pIC50,325,10,0.9249235653226664,0.0368800723770353,0.0228585056807251,0.7109986489479778,0.0296815096907407,0.0183967903029597,0.7360127154008901,0.0216114143151405,0.0133948933679087,0.5055132114176123,0.0373540211787752,0.023152262191455,1088.0
chemberta2,pIC50,350,10,0.921471323938296,0.0252168075178383,0.0156295392265875,0.7067779680629027,0.0232156101375179,0.0143891842397901,0.7338571583932951,0.019273774330204,0.01194600909434,0.5087248769493538,0.027010651019221,0.0167413749477186,1063.0
chemberta2,pIC50,375,10,0.907492284177042,0.022973892041307,0.0142393658115917,0.6935898153054982,0.0225118793726557,0.0139530073927967,0.7441576319929855,0.0093747478679221,0.0058105289274784,0.5218767866809633,0.0240080205483715,0.0148803253008158,1038.0
chemberta2,pIC50,400,10,0.90545187869987,0.0240477610212971,0.0149049567011243,0.6924232694463794,0.0243370536755935,0.015084262145919,0.7458651087194205,0.0124002348060031,0.0076857451595417,0.5196144318866673,0.0265841575798733,0.0164770315753289,1013.0
chemberta2,pIC50,425,10,0.895642035854553,0.0245594721634366,0.0152221185529207,0.6828062660107916,0.0228780823690247,0.0141799823614795,0.7491541789664431,0.011394267789362,0.007062240342918,0.5225199272050303,0.0275759315215866,0.0170917394329731,988.0
chemberta2,pIC50,450,10,0.9143464588306764,0.0346495760941618,0.0214760297617069,0.7058699961967676,0.0371400851212507,0.0230196632492339,0.7421323374080546,0.0199599030195677,0.0123712760619096,0.4989916862696993,0.0341310447594701,0.0211546407107715,963.0
chemberta2,pIC50,475,10,0.9109047324927128,0.0332312402384095,0.0205969360906197,0.7069269844421767,0.0344430362271474,0.0213480150258577,0.7362707019458344,0.0232177397983001,0.0143905042172182,0.4976793853967329,0.0363799879940351,0.0225485501689032,938.0
chemberta2,pIC50,500,10,0.9155593446750024,0.0422601431878292,0.0261931081168043,0.7065985754167933,0.0359500595121292,0.0222820777350783,0.7363824926123134,0.0173620600096707,0.0107611162826045,0.4846905180587727,0.049564649802385,0.0307204882216136,913.0
chemprop,pIC50,50,10,1.3549283045651803,0.0889038562074422,0.0551031809639728,1.1040312057259731,0.0982550743289995,0.0608991260035606,0.2961997142279579,0.1225063426275531,0.0759302178219287,-0.0298064872018075,0.1292048049357242,0.0800819677739921,1363.0
chemprop,pIC50,75,10,1.2663428066867926,0.0770202245709276,0.047737629766192,1.0112775480455218,0.0899569749110762,0.0557559106989742,0.4052349469234478,0.1324363958749707,0.0820849285894526,0.0991682487074961,0.1073867881385928,0.0665590208610697,1338.0
