model,target,train_size,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,R2_mean,R2_std,n_test_mean
gtca_depth_4,gap,350,10,0.7346311577055356,0.025958857652015176,0.5700088018813898,0.025184398654254585,0.8283882558345794,0.0116388562550288,0.6551384449005127,0.024178811672878754,9997.0
gtca_depth_4,gap,375,10,0.7388691708778372,0.02365156674761958,0.5746455605232361,0.025469878296359015,0.8279196977615356,0.009856131749251639,0.6512182772159576,0.022278103884600838,9997.0
gtca_depth_4,gap,400,10,0.7325118714965991,0.02071326569513649,0.5641556918096834,0.018492614770450794,0.8293570578098297,0.01046751820027717,0.6572637319564819,0.01939443386393228,9997.0
gtca_depth_4,gap,425,10,0.744675768772182,0.014225761195103506,0.5777012892250042,0.0140650527498138,0.8277315020561218,0.0076071398935846565,0.6459249138832093,0.013493655630069299,9997.0
gtca_depth_4,gap,450,10,0.7392420353555181,0.022157742402721524,0.5736848840897109,0.02024167887021835,0.8304065763950348,0.005445945733801513,0.6509057998657226,0.02113690595529082,9997.0
gtca_depth_4,gap,475,10,0.7503582674715633,0.02442560431472726,0.5879168617873064,0.024012646620508116,0.8335156261920929,0.006700802236474542,0.6402758479118347,0.023211119313107834,9997.0
gtca_depth_4,gap,500,10,0.7602221950417171,0.030368590993160388,0.5946394825916644,0.03089629976700723,0.8275104641914368,0.008314182761528737,0.6305780589580536,0.029748587720618485,9997.0
gtca_depth_4,gap,600,3,0.7040596555462881,0.023255351660769877,0.5457543044213307,0.02323279584446991,0.8628208438555399,0.0013666342120243421,0.6833693186442057,0.02099105062222948,9997.0
gtca_depth_4,gap,700,3,0.7328761433113521,0.04751230551481953,0.5758948791352344,0.046297389993659184,0.8671952684720358,0.012421841386011757,0.656208872795105,0.043988149166198344,9997.0
gtca_depth_4,gap,800,3,0.6722278438945206,0.04374734650199626,0.5236459866181249,0.046663830362156475,0.8807013233502706,0.003660700083756515,0.7107483943303426,0.0380901311984931,9997.0
gtca_depth_4,gap,900,3,0.6725088098532236,0.05408562474108335,0.5287018605610988,0.05036324224729194,0.8889962633450826,0.001616047226166491,0.7100768287976583,0.04749813781419177,9997.0
gtca_depth_4,gap,1000,3,0.6881378159622984,0.050462852528962404,0.550449451261089,0.05383307596210756,0.888678232828776,0.007874674668189415,0.6966644128163656,0.044487153891118195,9997.0
gtca_depth_4,gap,1500,3,0.5903567578819967,0.015778699332486427,0.45391156482733624,0.015156234170599098,0.9028065005938212,0.005265141593488408,0.777436375617981,0.011968748103877278,9997.0
gtca_depth_4,gap,2000,3,0.5676955855118822,0.027995855562350916,0.428132999592851,0.02628261982601875,0.915213922659556,0.002903748598619473,0.793959359327952,0.020370892794687387,9997.0
gtca_depth_4,gap,2500,3,0.5324195902481771,0.022040013570447357,0.40014577436243065,0.025874565488550664,0.9245787262916565,0.002738172119345396,0.8188566962877909,0.015083011967210071,9997.0
gtca_depth_4,gap,3000,3,0.5405325394909671,0.022680309931700785,0.4081040127812303,0.025349011199724034,0.9268075823783875,0.001979734453003956,0.8132883310317993,0.015489420098607078,9997.0
gtca_depth_6,gap,50,10,0.9556026501148621,0.0423670319457587,0.7380862832691281,0.03457494155996704,0.7077138304710389,0.01484740511705388,0.41609708070755,0.05274406229924902,9997.0
gtca_depth_6,gap,75,10,0.9396103605962204,0.046753729857584206,0.7199099545136434,0.04473501649449505,0.7261401116847992,0.018246241790894104,0.43521838188171386,0.05649893481790906,9997.0
gtca_depth_6,gap,100,10,0.951445867144489,0.05623498220475688,0.722042443243117,0.048435429843097975,0.7170746624469757,0.021832078811849672,0.4203714311122894,0.06950790954843021,9997.0
gtca_depth_6,gap,125,10,0.889627424164867,0.0458117588180542,0.6771591213714737,0.039283195281799466,0.7495678186416626,0.013889373472066003,0.4936277806758881,0.052572575223793924,9997.0
gtca_depth_6,gap,150,10,0.8186357506918486,0.02536238690542865,0.6367725879811671,0.019543758728748452,0.7727970600128173,0.018580702480041532,0.5718709349632263,0.02710642425201824,9997.0
gtca_depth_6,gap,175,10,0.809735975306138,0.02705908462489754,0.6341125522231769,0.028534012025428473,0.7942716598510742,0.00910397299753609,0.5810700356960297,0.02804366413745971,9997.0
