dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
lipo,exp,200,2,15,0.9714564,molformer,0.938674,3.3745658,0.9225244522094727,0.9089363,0.8936366438865662,0.9120067954063416,0.9736359,,1.1056394577026367,1.0201159715652466
lipo,exp,100,7,15,1.077937,attentivefp,1.0596313,1.6982124,1.029403567314148,1.0172149,1.0102053880691528,1.0378166437149048,1.0957116,,1.1877785921096802,1.1070646047592163
lipo,exp,100,4,15,1.0727519,attentivefp,1.0977778,-2.3328753,1.0796154737472534,1.039303,1.0329649448394775,1.0540961027145386,1.0867755,,1.2365753650665283,1.1705807447433472
lipo,exp,75,8,3,1.1017864,molformer,1.0972035,0.41595015,,1.0972035,,,1.0972035,,,
lipo,exp,500,2,15,0.8765559,krovex,0.8655107,1.26007,0.8147065043449402,0.7912651,0.7836146950721741,0.8187050223350525,0.89576405,,1.0780062675476074,0.9323577880859375
lipo,exp,50,0,17,1.0531529,krovex,1.066766,-1.2926048,1.0697754621505737,1.0171794,1.0008625984191895,1.0178216695785522,1.1190703,1.1274856328964233,1.2579782009124756,1.1576496362686157
lipo,exp,700,2,3,0.8380043,molformer,0.79906285,4.6469264,,0.79906285,,,0.79906285,,,
lipo,exp,150,7,3,1.0700626,molformer,1.0428619,2.5419726,,1.0428619,,,1.0428619,,,
lipo,exp,325,5,3,0.9636522,molformer,0.9467551,1.753442,,0.9467551,,,0.9467551,,,
lipo,exp,400,4,3,0.8920968,molformer,0.87393093,2.0363133,,0.87393093,,,0.87393093,,,
lipo,exp,250,1,3,1.0355581,molformer,1.0521353,-1.6008029,,1.0521353,,,1.0521353,,,
lipo,exp,275,9,3,0.9595699,molformer,0.9103032,5.134248,,0.9103032,,,0.9103032,,,
lipo,exp,500,9,15,0.8185915,attentivefp,0.84781593,-3.5700903,0.8089080452919006,0.77595973,0.7572440505027771,0.7826805710792542,0.87949,,1.0477428436279297,0.9327315092086792
lipo,exp,50,9,15,1.0630217,krovex,1.1343273,-6.707825,1.0784772634506226,1.0469309,1.0740864276885986,1.1028708219528198,1.126844,,1.2445998191833496,1.1840323209762573
lipo,exp,175,8,3,0.96781474,molformer,0.9766265,-0.9104813,,0.9766265,,,0.9766265,,,
lipo,exp,150,0,3,1.0234742,molformer,1.0356228,-1.186998,,1.0356228,,,1.0356228,,,
lipo,exp,400,3,3,0.91192406,molformer,0.92118514,-1.015553,,0.9211852,,,0.9211852,,,
lipo,exp,325,2,3,0.8994743,molformer,0.8911891,0.9211185,,0.8911891,,,0.8911891,,,
lipo,exp,250,6,3,1.0274806,molformer,1.0223457,0.4997603,,1.0223457,,,1.0223457,,,
lipo,exp,200,7,15,0.9925895,attentivefp,0.98852223,0.40976074,0.9704277515411377,0.9487636,0.9488083720207214,0.9581658840179443,1.0228351,,1.1371543407440186,1.0395426750183105
lipo,exp,500,4,17,0.8126302,attentivefp,0.8419349,-3.60616,0.7683621048927307,0.76364994,0.7481241822242737,0.7976297736167908,0.84427494,0.9849873185157776,1.0246071815490723,0.8969815373420715
lipo,exp,375,5,3,0.94802094,molformer,0.91503674,3.4792688,,0.9150368,,,0.9150368,,,
