model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
attentivefp,exp,425,10,0.8581032064826669,0.041235509169805416,0.025558033372855428,0.6635841451701825,0.0313863076702339,0.019453435037827413,0.7146754503250122,0.02510030772715101,0.01555733190822859,0.49253627061843874,0.048274970559243215,0.02992113674517708,3675.0
attentivefp,exp,450,10,0.8533415005712026,0.02436863858318454,0.015103838674463053,0.6664264091462617,0.02187810062466659,0.013560187255050609,0.7116301774978637,0.020233076672714175,0.012540590846285208,0.49872887134552,0.029121013695122766,0.018049391285710654,3650.0
attentivefp,exp,475,10,0.8567493642599352,0.02585107779008266,0.016022664014223257,0.6681075466577135,0.02326035606792525,0.014416918054787758,0.7123632431030273,0.02294198717652483,0.014219590971526004,0.4951272368431091,0.02892375285302089,0.01792712774908652,3625.0
attentivefp,exp,500,10,0.8565603670841038,0.040181351672699366,0.02490465978698952,0.6648805247803641,0.03287364739583374,0.0203752977505471,0.7136396169662476,0.028826535343355473,0.017866871712324057,0.49458234906196596,0.04731783327211823,0.029327896908462336,3600.0
attentivefp,exp,600,3,0.8488412193028333,0.018218839301437702,0.020616557479014877,0.6684647299582313,0.012431592185821409,0.014067670866081692,0.7169509927431742,0.014395326147684984,0.016289845035819234,0.5069036881128947,0.0202300020224884,0.02289240234224509,3500.0
attentivefp,exp,700,3,0.8190837946838703,0.024077508960460427,0.02724626630828541,0.6278872515768089,0.0016917840058952892,0.0019144338243801233,0.7452508211135864,0.023928455027494973,0.02707759590477551,0.5393794973691305,0.025980630777457464,0.029399851379239433,3400.0
attentivefp,exp,800,3,0.7848853757928197,0.021287017934643708,0.024088528448229434,0.6064418131171333,0.014997802681936628,0.016971611414711246,0.7622082034746805,0.015091844043786756,0.01707802923364634,0.5780606269836426,0.021813758901519844,0.024684591964706952,3300.0
attentivefp,exp,900,3,0.7894652587480943,0.028461513621962364,0.032207234600320975,0.6052628956584112,0.015400109018060356,0.01742686389076839,0.7642256418863932,0.013330768545362009,0.015085184704011928,0.573888103167216,0.03052793873300488,0.03454561474479735,3200.0
attentivefp,exp,1000,3,0.7555973114057051,0.021972612858601033,0.024864352139476967,0.5851272975372876,0.0077452155927893755,0.00876453652256012,0.7892278830210367,0.005402222444178662,0.006113190181442825,0.607312281926473,0.020082900465505784,0.02272594126014172,3100.0
gcn,exp,50,10,1.1834562887868392,0.05168466660557118,0.032034488249689484,0.9361717788069207,0.03928285244664054,0.024347764197061618,0.2711641598492861,0.1638368250357283,0.10154711621778621,0.030909240245819064,0.08554030385242602,0.053018429615642224,4050.0
